Player,Years,Seasons,GP,GS,Minutes,FGM,FGA,3PT,3PTA,FTM,FTA,PTS,OREB,DREB,REB,PF,AST,TO,STL,BLK,FG%,3PT%,FT%,MIN/G,PTS/G,REB/G
"Cramer, Kaylee",1,2011-12,29.0,1.0,650.0,48.0,133.0,2.0,8.0,29.0,41.0,127.0,52.0,118.0,170.0,63.0,46.0,43.0,38.0,13.0,0.3609022556390977,0.25,0.7073170731707317,22.413793103448278,4.379310344827586,5.862068965517241
"Cramer, Kaylee",2,2011-12;2012-13,58.0,30.0,1334.0,131.0,336.0,6.0,38.0,75.0,98.0,343.0,105.0,211.0,316.0,123.0,84.0,75.0,63.0,22.0,0.3898809523809524,0.15789473684210525,0.7653061224489796,23.0,5.913793103448276,5.448275862068965
"Cushing, Taylor",1,2025-26,4.0,,19.0,,3.0,,,,,,,2.0,2.0,2.0,1.0,2.0,1.0,,,,,4.75,,0.5
"Davis, Tonya",1,2010-11,1.0,1.0,3.0,1.0,2.0,,,2.0,2.0,4.0,1.0,,1.0,3.0,,,2.0,,0.5,,1.0,3.0,4.0,1.0
"DeLuca, Brooke",1,2015-16,28.0,3.0,539.0,41.0,120.0,13.0,43.0,9.0,17.0,104.0,27.0,49.0,76.0,44.0,22.0,39.0,16.0,2.0,0.3416666666666667,0.3023255813953488,0.5294117647058824,19.25,3.7142857142857144,2.7142857142857144
"DeLuca, Brooke",2,2015-16;2016-17,58.0,13.0,1251.0,90.0,286.0,33.0,127.0,17.0,38.0,230.0,50.0,125.0,175.0,81.0,60.0,86.0,39.0,3.0,0.3146853146853147,0.25984251968503935,0.4473684210526316,21.56896551724138,3.9655172413793105,3.0172413793103448
"DeLuca, Brooke",3,2015-16;2016-17;2017-18,88.0,24.0,2002.0,139.0,434.0,59.0,212.0,29.0,63.0,366.0,71.0,198.0,269.0,130.0,99.0,128.0,70.0,6.0,0.32027649769585254,0.2783018867924528,0.4603174603174603,22.75,4.159090909090909,3.0568181818181817
"DeLuca, Brooke",4,2015-16;2016-17;2017-18;2018-19,118.0,52.0,2839.0,206.0,671.0,99.0,357.0,74.0,120.0,585.0,94.0,261.0,355.0,184.0,137.0,186.0,105.0,7.0,0.30700447093889716,0.2773109243697479,0.6166666666666667,24.059322033898304,4.9576271186440675,3.0084745762711864
"Deckard, Kalyn",1,2013-14,3.0,,10.0,,1.0,,,2.0,2.0,2.0,,,,1.0,,,,,,,1.0,3.3333333333333335,0.6666666666666666,
"Demaret, Alicia",1,2014-15,30.0,18.0,545.0,79.0,173.0,,11.0,28.0,42.0,186.0,41.0,124.0,165.0,59.0,23.0,49.0,18.0,48.0,0.45664739884393063,,0.6666666666666666,18.166666666666668,6.2,5.5
"Diaz, Erika",1,2019-20,12.0,,76.0,10.0,23.0,1.0,3.0,3.0,11.0,24.0,4.0,8.0,12.0,9.0,7.0,18.0,3.0,,0.43478260869565216,0.3333333333333333,0.2727272727272727,6.333333333333333,2.0,1.0
"Diaz, Erika",2,2019-20;2020-21,37.0,15.0,585.0,81.0,199.0,6.0,23.0,44.0,66.0,212.0,26.0,44.0,70.0,58.0,75.0,89.0,51.0,2.0,0.40703517587939697,0.2608695652173913,0.6666666666666666,15.81081081081081,5.72972972972973,1.8918918918918919
"Dightman, Mariah",1,2024-25,27.0,3.0,371.0,41.0,106.0,3.0,12.0,40.0,59.0,125.0,21.0,24.0,45.0,35.0,14.0,21.0,17.0,2.0,0.3867924528301887,0.25,0.6779661016949152,13.74074074074074,4.62962962962963,1.6666666666666667
"Drew, Rajae",1,2019-20,3.0,,13.0,2.0,7.0,,1.0,,2.0,4.0,,1.0,1.0,2.0,,1.0,,,0.2857142857142857,,,4.333333333333333,1.3333333333333333,0.3333333333333333
"Ducy, Michelle",1,2009-10,26.0,26.0,753.0,67.0,213.0,13.0,59.0,18.0,47.0,165.0,71.0,69.0,140.0,62.0,89.0,93.0,50.0,4.0,0.3145539906103286,0.22033898305084745,0.3829787234042553,28.96153846153846,6.346153846153846,5.384615384615385
